archivo1,archivo2,algoritmo,n,tiempo_ms,memoria_kb
data/matrix_input/16_dispersa_D0_a_1.txt,data/matrix_input/16_dispersa_D0_a_2.txt,naive,16,0.005657,1992
data/matrix_input/16_dispersa_D0_a_1.txt,data/matrix_input/16_dispersa_D0_a_2.txt,strassen,16,0.876038,2012
data/matrix_input/16_dispersa_D0_b_1.txt,data/matrix_input/16_dispersa_D0_b_2.txt,naive,16,0.003568,2084
data/matrix_input/16_dispersa_D0_b_1.txt,data/matrix_input/16_dispersa_D0_b_2.txt,strassen,16,2.11343,2084
data/matrix_input/16_dispersa_D0_c_1.txt,data/matrix_input/16_dispersa_D0_c_2.txt,naive,16,0.003879,2020
data/matrix_input/16_dispersa_D0_c_1.txt,data/matrix_input/16_dispersa_D0_c_2.txt,strassen,16,0.954928,2072
data/matrix_input/16_dispersa_D10_a_1.txt,data/matrix_input/16_dispersa_D10_a_2.txt,naive,16,0.00479,2064
data/matrix_input/16_dispersa_D10_a_1.txt,data/matrix_input/16_dispersa_D10_a_2.txt,strassen,16,0.938415,2072
data/matrix_input/16_dispersa_D10_b_1.txt,data/matrix_input/16_dispersa_D10_b_2.txt,naive,16,0.004413,2080
data/matrix_input/16_dispersa_D10_b_1.txt,data/matrix_input/16_dispersa_D10_b_2.txt,strassen,16,0.840872,2084
data/matrix_input/16_dispersa_D10_c_1.txt,data/matrix_input/16_dispersa_D10_c_2.txt,naive,16,0.004834,2068
data/matrix_input/16_dispersa_D10_c_1.txt,data/matrix_input/16_dispersa_D10_c_2.txt,strassen,16,0.822155,2024
data/matrix_input/16_diagonal_D0_a_1.txt,data/matrix_input/16_diagonal_D0_a_2.txt,naive,16,0.003387,2020
data/matrix_input/16_diagonal_D0_a_1.txt,data/matrix_input/16_diagonal_D0_a_2.txt,strassen,16,1.32028,2072
data/matrix_input/16_diagonal_D0_b_1.txt,data/matrix_input/16_diagonal_D0_b_2.txt,naive,16,0.003783,2020
data/matrix_input/16_diagonal_D0_b_1.txt,data/matrix_input/16_diagonal_D0_b_2.txt,strassen,16,0.795215,2080
data/matrix_input/16_diagonal_D0_c_1.txt,data/matrix_input/16_diagonal_D0_c_2.txt,naive,16,0.004235,2072
data/matrix_input/16_diagonal_D0_c_1.txt,data/matrix_input/16_diagonal_D0_c_2.txt,strassen,16,0.65121,2144
data/matrix_input/16_diagonal_D10_a_1.txt,data/matrix_input/16_diagonal_D10_a_2.txt,naive,16,0.003494,2020
data/matrix_input/16_diagonal_D10_a_1.txt,data/matrix_input/16_diagonal_D10_a_2.txt,strassen,16,0.777815,2016
data/matrix_input/16_diagonal_D10_b_1.txt,data/matrix_input/16_diagonal_D10_b_2.txt,naive,16,0.004265,2024
data/matrix_input/16_diagonal_D10_b_1.txt,data/matrix_input/16_diagonal_D10_b_2.txt,strassen,16,1.07869,2016
data/matrix_input/16_diagonal_D10_c_1.txt,data/matrix_input/16_diagonal_D10_c_2.txt,naive,16,0.004252,1992
data/matrix_input/16_diagonal_D10_c_1.txt,data/matrix_input/16_diagonal_D10_c_2.txt,strassen,16,0.574851,2072
data/matrix_input/16_densa_D0_a_1.txt,data/matrix_input/16_densa_D0_a_2.txt,naive,16,0.003235,2024
data/matrix_input/16_densa_D0_a_1.txt,data/matrix_input/16_densa_D0_a_2.txt,strassen,16,0.689389,2016
data/matrix_input/16_densa_D0_b_1.txt,data/matrix_input/16_densa_D0_b_2.txt,naive,16,0.003115,2068
data/matrix_input/16_densa_D0_b_1.txt,data/matrix_input/16_densa_D0_b_2.txt,strassen,16,0.601395,2076
data/matrix_input/16_densa_D0_c_1.txt,data/matrix_input/16_densa_D0_c_2.txt,naive,16,0.003386,2020
data/matrix_input/16_densa_D0_c_1.txt,data/matrix_input/16_densa_D0_c_2.txt,strassen,16,1.05412,2080
data/matrix_input/16_densa_D10_a_1.txt,data/matrix_input/16_densa_D10_a_2.txt,naive,16,0.003677,1996
data/matrix_input/16_densa_D10_a_1.txt,data/matrix_input/16_densa_D10_a_2.txt,strassen,16,0.735732,2016
data/matrix_input/16_densa_D10_b_1.txt,data/matrix_input/16_densa_D10_b_2.txt,naive,16,0.003616,2016
data/matrix_input/16_densa_D10_b_1.txt,data/matrix_input/16_densa_D10_b_2.txt,strassen,16,0.591911,2068
data/matrix_input/16_densa_D10_c_1.txt,data/matrix_input/16_densa_D10_c_2.txt,naive,16,0.003505,2072
data/matrix_input/16_densa_D10_c_1.txt,data/matrix_input/16_densa_D10_c_2.txt,strassen,16,0.576886,2072
data/matrix_input/64_dispersa_D0_a_1.txt,data/matrix_input/64_dispersa_D0_a_2.txt,naive,64,0.203207,2072
data/matrix_input/64_dispersa_D0_a_1.txt,data/matrix_input/64_dispersa_D0_a_2.txt,strassen,64,30.1342,3600
